Year,Robin,Starling,Cedar_Waxwing,House_Sparrow
1968,85,213,4,78
1969,88,175,26,72
1970,98,174,23,73
1971,90,132,25,90
1972,97,116,1,71
1973,72,219,8,78
1974,76,241,11,75
1975,79,223,7,89
1976,62,99,9,64
1977,82,223,16,82
1978,53,81,8,82
1979,82,263,16,83
1980,77,138,18,93
1981,89,164,35,123
1982,68,141,28,51
1983,70,398,24,67
1984,81,31,22,74
1985,77,111,9,122
1986,76,134,10,42
1987,83,83,19,57
1988,69,197,27,70
1989,85,126,16,76
1990,76,162,29,46
1991,86,52,29,101
1992,65,107,13,43
1993,80,225,34,62
1994,65,126,15,39
1995,71,73,13,37
1996,83,50,23,48
1997,52,330,19,31
1998,81,127,7,53
1999,70,74,10,47
2000,63,48,15,43
2001,86,154,5,43
2002,80,77,9,54
2003,77,57,9,48
2004,75,75,8,32
2005,72,161,7,27
2006,68,90,8,44
2007,70,65,13,35
2008,87,53,18,30
2009,63,24,37,35
2010,72,48,24,15
2011,89,53,37,29
2012,57,89,34,53
2013,101,58,28,49
2014,80,24,33,27
2015,90,30,40,35
2016,76,21,20,49
2017,76,44,19,52
2018,63,36,24,35
2019,66,26,19,22
