"year","species","count","pelts"
1900,"Hare",640992.585139815,42.3274264281404
1901,"Hare",930130.347515637,61.420404487926
1902,"Hare",1165324.72640131,76.951274890154
1903,"Hare",952067.088175904,62.8689793979901
1904,"Hare",459092.506435077,30.3158019926279
1905,"Hare",231224.218759476,15.2687040924368
1906,"Hare",168117.723935397,11.1015177961689
1907,"Hare",167897.203683017,11.0869559198306
1908,"Hare",205873.191240704,13.5946695137926
1909,"Hare",284430.451212095,18.7821345780103
1910,"Hare",418125.769867748,27.6105967090498
1911,"Hare",626939.754720964,41.3994591482517
1912,"Hare",913177.913287278,60.3009642179231
1913,"Hare",1159848.20254897,76.5896370712212
1914,"Hare",978822.783806008,64.6357700981819
1915,"Hare",480282.217652901,31.7150474182366
1916,"Hare",238002.330100868,15.7162911874762
1917,"Hare",169517.774017181,11.1939689698739
1918,"Hare",166851.750483624,11.0179202641815
1919,"Hare",202796.30131555,13.3914895785582
1920,"Hare",278809.90319518,18.4109862399684
1900,"Lynx",3328.31906783395,5.69831217703312
1901,"Lynx",4752.51310947293,8.13663076504366
1902,"Lynx",9875.52426996466,16.9075797888417
1903,"Lynx",21757.6436956323,37.2505891074488
1904,"Lynx",27671.4386276298,47.3754145784061
1905,"Lynx",21609.9828109091,36.997783471829
1906,"Lynx",14180.4000347242,24.277824495251
1907,"Lynx",8972.9668016708,15.3623390510305
1908,"Lynx",5825.1822785507,9.97311448655832
1909,"Lynx",4079.58265654567,6.98452734104492
1910,"Lynx",3279.79239280877,5.61523115698331
1911,"Lynx",3298.57799468307,5.64739340517271
1912,"Lynx",4612.00314874609,7.89606800531844
1913,"Lynx",9416.19883442936,16.1211829112626
1914,"Lynx",21046.8698239091,36.0336951361046
1915,"Lynx",27755.8157579114,47.5198740545405
1916,"Lynx",22051.4664367372,37.7536339386095
1917,"Lynx",14539.8485418888,24.8932251715826
1918,"Lynx",9201.38670286186,15.7534097019824
1919,"Lynx",5957.35552951514,10.1994042232388
1920,"Lynx",4148.64511015344,7.10276703271758
